### Do not modify version number ###
Version = 1.6.3
Name,R,G,B,x,y
W,255,255,255,0.3127,0.329
R,255,0,0,0.64,0.33
G,0,255,0,0.3,0.6
B,0,0,255,0.15,0.06
C,0,255,255,0.224647492525143,0.328730973090514
M,255,0,255,0.320893340870216,0.154165718438691
Y,255,255,0,0.419305999748872,0.505257000199425
Dark Skin,115,82,68,0.40209294892891,0.361877528785637
Light Skin,194,150,130,0.379275461825409,0.356428282779655
Blue Sky,98,122,157,0.251419302851997,0.263793383102191
Foliage,87,108,67,0.336267196191584,0.433405607179024
Blue Flower,133,128,177,0.270129726231182,0.251575413688063
Bluish Green,103,189,170,0.263132993609747,0.357870141825687
Orange,214,126,44,0.50275482006294,0.415787288109946
Purplish Blue,80,91,166,0.217274632796539,0.185099908872065
Moderate Red,193,90,99,0.455197022558203,0.317135574109081
Purple,94,60,108,0.290493543174852,0.212021502750984
Yellow Green,157,188,64,0.375105123050263,0.497724765760172
Orange Yellow,224,163,46,0.467663031816344,0.447722588193862
Blue,56,61,150,0.192199000427965,0.135489750889667
Green,70,148,73,0.302593711769264,0.491259648075624
Red,175,54,60,0.538085052263709,0.322211178422889
Yellow,231,199,31,0.442941646693858,0.480189028972696
Magenta,187,86,149,0.368917583027897,0.242702322503118
Cyan,8,133,161,0.209318176226169,0.272889191599053
White,243,243,242,0.313283742897726,0.329965131158502
Neutral 8,200,200,200,0.3127,0.329
Neutral 6.5,160,160,160,0.3127,0.329
Neutral 5,122,122,121,0.313863970499022,0.330924450302624
Neutral 3.5,85,85,85,0.3127,0.329
Black,52,52,52,0.3127,0.329
